"Term","Kind","Quantity","Case","Hyphens","Underscores","Business","Occurrences"
"servers","Noun","Plural","Lower","No","No","Yes","81"
"flavors","Noun","Plural","Lower","No","No","Yes","43"
"images","Noun","Plural","Lower","No","No","Yes","38"
"users","Noun","Plural","Lower","No","No","Yes","37"
"detail","Noun","Singular","Lower","No","No","Yes","31"
"stacks","Noun","Plural","Lower","No","No","Yes","24"
"lb","Noun","Singular","Lower","No","No","Yes","22"
"snapshots","Noun","Plural","Lower","No","No","Yes","20"
"OS-KSADM","Noun","Singular","Upper","No","Yes","No","20"
"metadata","Noun","Plural","Lower","No","No","Yes","18"
"tenants","Noun","Plural","Lower","No","No","Yes","14"
"roles","Noun","Plural","Lower","No","No","Yes","14"
"os-quota-sets","Noun","Plural","Lower","No","Yes","No","14"
"members","Noun","Plural","Lower","No","No","Yes","14"
"networks","Noun","Plural","Lower","No","No","Yes","13"
"instances","Noun","Plural","Lower","No","No","Yes","13"
"os-hosts","Noun","Plural","Lower","No","Yes","No","12"
"credentials","Noun","Plural","Lower","No","No","Yes","12"
"volumes","Noun","Plural","Lower","No","No","Yes","11"
"os-hypervisors","Noun","Plural","Lower","No","Yes","No","11"
"OS-OAUTH1","Noun","Singular","Upper","No","Yes","No","11"
"types","Noun","Plural","Lower","No","No","Yes","10"
"os-aggregates","Noun","Plural","Lower","No","Yes","No","10"
"resources","Noun","Plural","Lower","No","No","Yes","9"
"ports","Noun","Plural","Lower","No","No","Yes","9"
"extensions","Noun","Plural","Lower","No","No","Yes","9"
"OS-KSCATALOG","Noun","Singular","Upper","No","Yes","No","9"
"qos-specs","Noun","Plural","Lower","No","Yes","Yes","8"
"metering","Noun","Singular","Lower","No","No","Yes","8"
"alarms","Noun","Plural","Lower","No","No","Yes","8"
"routers","Noun","Plural","Lower","No","No","Yes","7"
"pools","Noun","Plural","Lower","No","No","Yes","7"
"os-floating-ip-dns","Noun","Plural","Lower","No","Yes","No","7"
"os-agents","Noun","Plural","Lower","No","Yes","No","7"
"tokens","Noun","Plural","Lower","No","No","Yes","6"
"software_deployments","Noun","Plural","Lower","Yes","No","Yes","6"
"os-security-groups","Noun","Plural","Lower","No","Yes","No","6"
"endpoints","Noun","Plural","Lower","No","No","Yes","6"
"OS-OS-KSS3","Noun","Singular","Upper","No","Yes","No","6"
"vips","Noun","Plural","Lower","No","No","Yes","5"
"subnets","Noun","Plural","Lower","No","No","Yes","5"
"services","Noun","Plural","Lower","No","No","Yes","5"
"os-volumes","Noun","Plural","Lower","No","Yes","No","5"
"os-snapshots","Noun","Plural","Lower","No","Yes","No","5"
"os-services","Noun","Plural","Lower","No","Yes","No","5"
"limits","Noun","Plural","Lower","No","No","Yes","5"
"healthmonitors","Noun","Plural","Lower","No","No","Yes","5"
"floatingips","Noun","Plural","Lower","No","No","Yes","5"
"endpointTemplates","Noun","Plural","Camel","No","No","Yes","5"
"consumers","Noun","Plural","Lower","No","No","Yes","5"
"access_tokens","Noun","Plural","Lower","Yes","No","Yes","5"
"security-groups","Noun","Plural","Lower","No","Yes","Yes","4"
"security-group-rules","Noun","Plural","Lower","No","Yes","Yes","4"
"schemas","Noun","Plural","Lower","No","No","Yes","4"
"s3credentials","Noun","Plural","Lower","No","No","Yes","4"
"os-volume_attachments","Noun","Plural","Lower","Yes","Yes","No","4"
"os-simple-tenant-usage","Noun","Singular","Lower","No","Yes","No","4"
"os-server-groups","Noun","Plural","Lower","No","Yes","No","4"
"os-security-group-default-rules","Noun","Plural","Lower","No","Yes","No","4"
"os-quota-class-sets","Noun","Plural","Lower","No","Yes","No","4"
"os-keypairs","Noun","Plural","Lower","No","Yes","No","4"
"os-interface","Noun","Singular","Lower","No","Yes","No","4"
"os-instance-actions","Noun","Plural","Lower","No","Yes","No","4"
"os-floating-ips-bulk","Noun","Singular","Lower","No","Yes","No","4"
"os-floating-ips","Noun","Plural","Lower","No","Yes","No","4"
"os-extra_specs","Noun","Plural","Lower","Yes","Yes","No","4"
"os-certificates","Noun","Plural","Lower","No","Yes","No","4"
"meters","Noun","Plural","Lower","No","No","Yes","4"
"metering-labels","Noun","Plural","Lower","No","Yes","Yes","4"
"metering-label-rules","Noun","Plural","Lower","No","Yes","Yes","4"
"flavor-extra-specs","Noun","Plural","Lower","No","Yes","Yes","4"
"events","Noun","Plural","Lower","No","No","Yes","4"
"entries","Noun","Plural","Lower","No","No","Yes","4"
"OS-KSEC2:ec2Credentials","Noun","Plural","Camel","No","Yes","No","4"
"validate","Verb","Singular","Lower","No","No","Yes","3"
"token","Noun","Singular","Lower","No","No","Yes","3"
"statistics","Noun","Plural","Lower","No","No","Yes","3"
"software_configs","Noun","Plural","Lower","Yes","No","Yes","3"
"root","Noun","Singular","Lower","No","No","Yes","3"
"resource_types","Noun","Plural","Lower","Yes","No","Yes","3"
"quotas","Noun","Plural","Lower","No","No","Yes","3"
"os-cloudpipe","Noun","Singular","Lower","No","Yes","No","3"
"os-cells","Noun","Plural","Lower","No","Yes","No","3"
"databases","Noun","Plural","Lower","No","No","Yes","3"
"OS-KSVALIDATE","Noun","Singular","Upper","No","Yes","No","3"
"template","Noun","Singular","Lower","No","No","Yes","2"
"tags","Noun","Plural","Lower","No","No","Yes","2"
"state","Noun","Singular","Lower","No","No","Yes","2"
"startup","Verb","Singular","Lower","No","No","Yes","2"
"shutdown","Verb","Singular","Lower","No","No","Yes","2"
"reboot","Verb","Singular","Lower","No","No","Yes","2"
"os-volume-types","Noun","Plural","Lower","No","Yes","No","2"
"os-server-password","Noun","Singular","Lower","No","Yes","No","2"
"os-migrations","Noun","Plural","Lower","No","Yes","No","2"
"os-instance-usage-audit-log","Noun","Singular","Lower","No","Yes","No","2"
"os-fixed-ips","Noun","Plural","Lower","No","Yes","No","2"
"ips","Noun","Plural","Lower","No","No","Yes","2"
"health_monitors","Noun","Plural","Lower","Yes","No","Yes","2"
"file","Noun","Singular","Lower","No","No","Yes","2"
"defaults","Noun","Plural","Lower","No","No","Yes","2"
"actions","Noun","Plural","Lower","No","No","Yes","2"
"10","Noun","Singular","Camel","No","No","No","2"
"uptime","Noun","Singular","Lower","No","No","Yes","1"
"unshelve","Noun","Singular","Lower","No","No","Yes","1"
"unrescue","Noun","Singular","Lower","No","No","Yes","1"
"unpauseserver","Verb","Singular","Lower","No","No","Yes","1"
"stopReport","Verb","Singular","Camel","No","No","Yes","1"
"stop","Verb","Singular","Lower","No","No","Yes","1"
"signal","Verb","Singular","Lower","No","No","Yes","1"
"shared-images","Noun","Plural","Lower","No","Yes","Yes","1"
"serverIPDetails","Noun","Plural","Camel","No","No","Yes","1"
"search","Verb","Singular","Lower","No","No","Yes","1"
"restoredelete","Verb","Singular","Lower","No","No","Yes","1"
"restore","Verb","Singular","Lower","No","No","Yes","1"
"restartInstance","Verb","Singular","Camel","No","No","Yes","1"
"reserveIP","Noun","Singular","Camel","No","No","Yes","1"
"removeflavoraccess","Verb","Singular","Lower","No","No","Yes","1"
"removeaggregate","Verb","Singular","Lower","No","No","Yes","1"
"remove_router_interface","Verb","Singular","Lower","Yes","No","Yes","1"
"remove_host","Verb","Singular","Lower","Yes","No","Yes","1"
"removeTenantAccess","Verb","Singular","Camel","No","No","Yes","1"
"rebuild","Verb","Singular","Lower","No","No","Yes","1"
"preview","Verb","Singular","Lower","No","No","Yes","1"
"os-volume-manage","Noun","Singular","Lower","No","Yes","No","1"
"os-virtual-interfaces","Noun","Plural","Lower","No","Yes","No","1"
"os-floating-ip-pools","Noun","Plural","Lower","No","Yes","No","1"
"os-flavor-swap","Noun","Singular","Lower","No","Yes","No","1"
"os-flavor-access","Noun","Singular","Lower","No","Yes","No","1"
"os-coverage","Noun","Singular","Lower","No","Yes","No","1"
"nova","Noun","Singular","Lower","No","No","Yes","1"
"member","Noun","Singular","Lower","No","No","Yes","1"
"image","Noun","Singular","Lower","No","No","Yes","1"
"history","Noun","Singular","Lower","No","No","Yes","1"
"getConsoleOutput","Verb","Singular","Camel","No","No","Yes","1"
"getConsole","Verb","Singular","Camel","No","No","Yes","1"
"flavor-access","Noun","Singular","Lower","No","Yes","Yes","1"
"evacuateserver","Noun","Singular","Lower","No","No","Yes","1"
"enable","Verb","Singular","Lower","No","No","Yes","1"
"disassociate_all","Verb","Singular","Lower","Yes","No","Yes","1"
"disassociate","Verb","Singular","Lower","No","No","Yes","1"
"disable-log-reason","Verb","Singular","Lower","No","Yes","Yes","1"
"disable","Verb","Singular","Lower","No","No","Yes","1"
"diagnostics","Noun","Plural","Lower","No","No","Yes","1"
"details","Noun","Plural","Lower","No","No","Yes","1"
"delete","Verb","Singular","Lower","No","No","Yes","1"
"createImage","Verb","Singular","Camel","No","No","Yes","1"
"configure-project","Verb","Singular","Lower","No","Yes","Yes","1"
"cell3","Noun","Singular","Lower","No","No","Yes","1"
"capacities","Noun","Plural","Lower","No","No","Yes","1"
"build_info","Verb","Singular","Lower","Yes","No","Yes","1"
"auth","Verb","Singular","Lower","No","No","Yes","1"
"associations","Noun","Plural","Lower","No","No","Yes","1"
"associate","Verb","Singular","Lower","No","No","Yes","1"
"addiptoinstance","Verb","Singular","Lower","No","No","Yes","1"
"add_router_interface","Verb","Singular","Lower","Yes","No","Yes","1"
"addTenantAccess","Verb","Singular","Camel","No","No","Yes","1"
"addFloatingIP","Verb","Singular","Camel","No","No","Yes","1"
"action","Noun","Singular","Lower","No","No","Yes","1"
"access_token","Noun","Singular","Lower","Yes","No","Yes","1"
"abandon","Verb","Singular","Lower","No","No","Yes","1"
"RemoveFloatingIP","Verb","Singular","Camel","No","No","Yes","1"
"1","Noun","Singular","Camel","No","No","No","1"
