"Term","Kind","Quantity","Case","Hyphens","Underscores","Business","Occurrences"
"namespaces","Noun","Plural","Lower","No","No","Yes","28"
"containers","Noun","Plural","Lower","No","No","Yes","28"
"clusters","Noun","Plural","Lower","No","No","Yes","20"
"volumes","Noun","Plural","Lower","No","No","Yes","10"
"dedicated","Verb","Singular","Lower","No","No","Yes","10"
"json","Noun","Singular","Lower","No","No","No","9"
"workers","Noun","Plural","Lower","No","No","Yes","7"
"groups","Noun","Plural","Lower","No","No","Yes","7"
"services","Noun","Plural","Lower","No","No","Yes","6"
"triggers","Verb","Plural","Lower","No","No","Yes","5"
"rules","Noun","Plural","Lower","No","No","Yes","5"
"fs","Noun","Plural","Lower","No","No","Yes","5"
"floating-ips","Noun","Plural","Lower","No","Yes","Yes","5"
"datacenters","Noun","Plural","Lower","No","No","Yes","5"
"config","Noun","Singular","Lower","No","No","Yes","5"
"actions","Noun","Plural","Lower","No","No","Yes","5"
"packages","Noun","Plural","Lower","No","No","Yes","4"
"activations","Noun","Plural","Lower","No","No","Yes","4"
"vlans","Noun","Plural","Lower","No","No","Yes","3"
"registry","Noun","Singular","Lower","No","No","Yes","3"
"images","Noun","Plural","Lower","No","No","Yes","3"
"datacenter","Noun","Singular","Lower","No","No","Yes","3"
"create","Verb","Singular","Lower","No","No","Yes","3"
"webhooks","Noun","Plural","Lower","No","No","Yes","2"
"tlskey","Noun","Singular","Lower","No","No","Yes","2"
"subnets","Noun","Plural","Lower","No","No","Yes","2"
"quota","Noun","Singular","Lower","No","No","Yes","2"
"messages","Noun","Plural","Lower","No","No","Yes","2"
"credentials","Noun","Plural","Lower","No","No","Yes","2"
"build","Verb","Singular","Lower","No","No","Yes","2"
"version","Noun","Singular","Lower","No","No","Yes","1"
"usersubnets","Noun","Plural","Lower","No","No","Yes","1"
"usage","Noun","Singular","Lower","No","No","Yes","1"
"unpause","Verb","Singular","Lower","No","No","Yes","1"
"unmaproute","Verb","Singular","Lower","No","No","Yes","1"
"unbind","Verb","Singular","Lower","No","No","Yes","1"
"stop","Verb","Singular","Lower","No","No","Yes","1"
"status","Noun","Plural","Lower","No","No","Yes","1"
"start","Verb","Singular","Lower","No","No","Yes","1"
"result","Noun","Singular","Lower","No","No","Yes","1"
"restart","Verb","Singular","Lower","No","No","Yes","1"
"request","Verb","Singular","Lower","No","No","Yes","1"
"rename","Verb","Singular","Lower","No","No","Yes","1"
"release","Verb","Singular","Lower","No","No","Yes","1"
"refresh","Verb","Singular","Lower","No","No","Yes","1"
"pause","Verb","Singular","Lower","No","No","Yes","1"
"maproute","Verb","Singular","Lower","No","No","Yes","1"
"machine-types","Noun","Plural","Lower","No","Yes","Yes","1"
"logs","Noun","Plural","Lower","No","No","Yes","1"
"keys","Noun","Plural","Lower","No","No","Yes","1"
"flavors","Noun","Plural","Lower","No","No","Yes","1"
"bind","Verb","Singular","Lower","No","No","Yes","1"
