"Term","Kind","Quantity","Case","Hyphens","Underscores","Business","Occurrences"
"loadbalancers","Noun","Plural","Lower","No","No","Yes","65"
"servers","Noun","Plural","Lower","No","No","Yes","33"
"instances","Noun","Plural","Lower","No","No","Yes","33"
"users","Noun","Plural","Lower","No","No","Yes","29"
"metadata","Noun","Plural","Lower","No","No","Yes","28"
"images","Noun","Plural","Lower","No","No","Yes","24"
"groups","Noun","Plural","Lower","No","No","Yes","23"
"domains","Noun","Plural","Lower","No","No","Yes","20"
"stacks","Noun","Plural","Lower","No","No","Yes","19"
"mgmt","Noun","Singular","Lower","No","No","Yes","17"
"OS-KSADM","Noun","Singular","Upper","No","Yes","No","17"
"queues","Noun","Plural","Lower","No","No","Yes","16"
"nodes","Noun","Plural","Lower","No","No","Yes","15"
"flavors","Noun","Plural","Lower","No","No","Yes","13"
"roles","Noun","Plural","Lower","No","No","Yes","12"
"policies","Noun","Plural","Lower","No","No","Yes","11"
"tenants","Noun","Plural","Lower","No","No","Yes","9"
"resources","Noun","Plural","Lower","No","No","Yes","9"
"detail","Noun","Singular","Lower","No","No","Yes","9"
"ssltermination","Noun","Singular","Lower","No","No","Yes","8"
"restore","Verb","Singular","Lower","No","No","Yes","8"
"datastores","Noun","Plural","Lower","No","No","Yes","8"
"alarms","Noun","Plural","Lower","No","No","Yes","8"
"agent","Noun","Singular","Lower","No","No","Yes","8"
"types","Noun","Plural","Lower","No","No","Yes","7"
"routers","Noun","Plural","Lower","No","No","Yes","7"
"records","Noun","Plural","Lower","No","No","Yes","7"
"limits","Noun","Plural","Lower","No","No","Yes","7"
"configurations","Noun","Plural","Lower","No","No","Yes","7"
"clusters","Noun","Plural","Lower","No","No","Yes","7"
"backup-configuration","Noun","Singular","Lower","No","Yes","Yes","7"
"volumes","Noun","Plural","Lower","No","No","Yes","6"
"versions","Noun","Plural","Lower","No","No","Yes","6"
"usage","Noun","Singular","Lower","No","No","Yes","6"
"software_deployments","Noun","Plural","Lower","Yes","No","Yes","6"
"snapshots","Noun","Plural","Lower","No","No","Yes","6"
"schemas","Noun","Plural","Lower","No","No","Yes","6"
"members","Noun","Plural","Lower","No","No","Yes","6"
"databases","Noun","Plural","Lower","No","No","Yes","6"
"webhooks","Noun","Plural","Lower","No","No","Yes","5"
"subnets","Noun","Plural","Lower","No","No","Yes","5"
"services","Noun","Plural","Lower","No","No","Yes","5"
"rdns","Noun","Plural","Lower","No","No","Yes","5"
"ports","Noun","Plural","Lower","No","No","Yes","5"
"networks","Noun","Plural","Lower","No","No","Yes","5"
"messages","Noun","Plural","Lower","No","No","Yes","5"
"events","Noun","Plural","Lower","No","No","Yes","5"
"certificatemappings","Noun","Plural","Lower","No","No","Yes","5"
"backups","Noun","Plural","Lower","No","No","Yes","5"
"backup","Verb","Singular","Lower","No","No","Yes","5"
"virtualips","Noun","Plural","Lower","No","No","Yes","4"
"tokens","Noun","Plural","Lower","No","No","Yes","4"
"tasks","Noun","Plural","Lower","No","No","Yes","4"
"security-groups","Noun","Plural","Lower","No","Yes","Yes","4"
"security-group-rules","Noun","Plural","Lower","No","Yes","Yes","4"
"parameters","Noun","Plural","Lower","No","No","Yes","4"
"os-networksv2","Noun","Singular","Lower","No","Yes","No","4"
"os-extra_specs","Noun","Plural","Lower","Yes","Yes","No","4"
"meters","Noun","Plural","Lower","No","No","Yes","4"
"extensions","Noun","Plural","Lower","No","No","Yes","4"
"claims","Verb","Plural","Lower","No","No","Yes","4"
"accesslist","Noun","Singular","Lower","No","No","Yes","4"
"state","Noun","Singular","Lower","No","No","Yes","3"
"software_configs","Noun","Plural","Lower","Yes","No","Yes","3"
"sessionpersistence","Noun","Singular","Lower","No","No","Yes","3"
"root","Noun","Singular","Lower","No","No","Yes","3"
"resource_types","Noun","Plural","Lower","Yes","No","Yes","3"
"os-virtual-interfacesv2","Noun","Singular","Lower","No","Yes","No","3"
"hosts","Noun","Plural","Lower","No","No","Yes","3"
"healthmonitor","Noun","Singular","Lower","No","No","Yes","3"
"files","Noun","Plural","Lower","No","No","Yes","3"
"errorpage","Noun","Singular","Lower","No","No","Yes","3"
"credentials","Noun","Plural","Lower","No","No","Yes","3"
"connectionthrottle","Noun","Singular","Lower","No","No","Yes","3"
"user","Noun","Singular","Lower","No","No","Yes","2"
"template","Noun","Singular","Lower","No","No","Yes","2"
"tags","Noun","Plural","Lower","No","No","Yes","2"
"system","Noun","Singular","Lower","No","No","Yes","2"
"stats","Noun","Plural","Lower","No","No","Yes","2"
"report","Verb","Singular","Lower","No","No","Yes","2"
"profile","Verb","Singular","Lower","No","No","Yes","2"
"os-instance-actions","Noun","Plural","Lower","No","Yes","No","2"
"monitoring","Noun","Singular","Lower","No","No","Yes","2"
"launch","Verb","Singular","Lower","No","No","Yes","2"
"ips","Noun","Plural","Lower","No","No","Yes","2"
"execute","Verb","Singular","Lower","No","No","Yes","2"
"enable","Verb","Singular","Lower","No","No","Yes","2"
"contentcaching","Noun","Singular","Lower","No","No","Yes","2"
"connectionlogging","Noun","Singular","Lower","No","No","Yes","2"
"config","Noun","Singular","Lower","No","No","Yes","2"
"activity","Noun","Singular","Lower","No","No","Yes","2"
"action-requested","Noun","Singular","Lower","No","Yes","Yes","2"
"accounts","Noun","Plural","Lower","No","No","Yes","2"
"wakeupagents","Verb","Plural","Lower","No","No","Yes","1"
"validate","Verb","Singular","Lower","No","No","Yes","1"
"tenant","Noun","Singular","Lower","No","No","Yes","1"
"task","Noun","Singular","Lower","No","No","Yes","1"
"subdomains","Noun","Plural","Lower","No","No","Yes","1"
"storage","Noun","Singular","Lower","No","No","Yes","1"
"statistics","Noun","Plural","Lower","No","No","Yes","1"
"signal","Verb","Singular","Lower","No","No","Yes","1"
"server","Noun","Singular","Lower","No","No","Yes","1"
"search","Verb","Singular","Lower","No","No","Yes","1"
"resume","Verb","Singular","Lower","No","No","Yes","1"
"reset","Verb","Singular","Lower","No","No","Yes","1"
"remove_router_interface","Verb","Singular","Lower","Yes","No","Yes","1"
"protocols","Noun","Plural","Lower","No","No","Yes","1"
"preview","Verb","Singular","Lower","No","No","Yes","1"
"pause","Verb","Singular","Lower","No","No","Yes","1"
"migratevault","Verb","Singular","Lower","No","No","Yes","1"
"member","Noun","Singular","Lower","No","No","Yes","1"
"instance","Noun","Singular","Lower","No","No","Yes","1"
"import","Verb","Singular","Lower","No","No","Yes","1"
"image","Noun","Singular","Lower","No","No","Yes","1"
"hwinfo","Noun","Singular","Lower","No","No","Yes","1"
"history","Noun","Singular","Lower","No","No","Yes","1"
"export","Verb","Singular","Lower","No","No","Yes","1"
"endpoints","Noun","Plural","Lower","No","No","Yes","1"
"encrypt","Verb","Singular","Lower","No","No","Yes","1"
"diagnostics","Noun","Plural","Lower","No","No","Yes","1"
"delete","Verb","Singular","Lower","No","No","Yes","1"
"current","Noun","Singular","Lower","No","No","Yes","1"
"configuration","Noun","Singular","Lower","No","No","Yes","1"
"completed","Verb","Singular","Lower","No","No","Yes","1"
"clone","Verb","Singular","Lower","No","No","Yes","1"
"changes","Noun","Plural","Lower","No","No","Yes","1"
"changeencryption","Verb","Singular","Lower","No","No","Yes","1"
"build_info","Verb","Singular","Lower","Yes","No","Yes","1"
"billable","Noun","Singular","Lower","No","No","Yes","1"
"availableforrestore","Noun","Singular","Lower","No","No","Yes","1"
"alloweddomains","Noun","Plural","Lower","No","No","Yes","1"
"algorithms","Noun","Plural","Lower","No","No","Yes","1"
"agents","Noun","Plural","Lower","No","No","Yes","1"
"add_router_interface","Verb","Singular","Lower","Yes","No","Yes","1"
"action|updateHostInstances","Noun","Plural","Camel","No","No","Yes","1"
"action|unrescue","Noun","Singular","Lower","No","No","Yes","1"
"action|restartInstance","Noun","Singular","Camel","No","No","Yes","1"
"action|rebuild","Noun","Singular","Lower","No","No","Yes","1"
"action|postClusterAction","Noun","Singular","Camel","No","No","Yes","1"
"action|migrateInstance","Noun","Singular","Camel","No","No","Yes","1"
"action|createImage","Noun","Singular","Camel","No","No","Yes","1"
"action|agentStop","Noun","Singular","Camel","No","No","Yes","1"
"actions","Noun","Plural","Lower","No","No","Yes","1"
"abandon","Verb","Singular","Lower","No","No","Yes","1"
"RAX-KSKEY:apiKeyCredentials","Noun","Plural","Camel","No","Yes","Yes","1"
"RAX-AUTH","Noun","Singular","Upper","No","Yes","Yes","1"
