"Term","Kind","Quantity","Case","Hyphens","Underscores","Business","Occurrences"
"providers","Noun","Plural","Lower","No","No","Yes","1788"
"subscriptions","Noun","Plural","Lower","No","No","Yes","1726"
"resourceGroups","Noun","Plural","Camel","No","No","Yes","1472"
"Microsoft.Network","Noun","Singular","Camel","No","No","Yes","180"
"Microsoft.ApiManagement","Noun","Singular","Camel","No","No","Yes","141"
"service","Noun","Singular","Lower","No","No","Yes","139"
"namespaces","Noun","Plural","Lower","No","No","Yes","124"
"Microsoft.Automation","Noun","Singular","Camel","No","No","Yes","112"
"automationAccounts","Noun","Plural","Camel","No","No","Yes","111"
"Microsoft.DevTestLab","Noun","Singular","Camel","No","No","Yes","105"
"servers","Noun","Plural","Lower","No","No","Yes","102"
"labs","Noun","Plural","Lower","No","No","Yes","97"
"Microsoft.StorSimple","Noun","Singular","Camel","No","No","Yes","92"
"managers","Noun","Plural","Lower","No","No","Yes","91"
"Microsoft.Compute","Noun","Singular","Camel","No","No","Yes","90"
"resourcegroups","Noun","Plural","Lower","No","No","Yes","82"
"devices","Noun","Plural","Lower","No","No","Yes","77"
"locations","Noun","Plural","Lower","No","No","Yes","65"
"Microsoft.Web","Noun","Singular","Camel","No","No","Yes","62"
"Microsoft.Logic","Noun","Singular","Camel","No","No","Yes","59"
"hubs","Noun","Plural","Lower","No","No","Yes","58"
"Microsoft.CustomerInsights","Noun","Plural","Camel","No","No","Yes","58"
"Microsoft.Sql","Noun","Singular","Camel","No","No","Yes","57"
"accounts","Noun","Plural","Lower","No","No","Yes","54"
"workspaces","Noun","Plural","Lower","No","No","Yes","45"
"Microsoft.ServiceBus","Noun","Plural","Camel","No","No","Yes","45"
"Microsoft.OperationalInsights","Noun","Plural","Camel","No","No","Yes","44"
"apps","Noun","Plural","Lower","No","No","Yes","41"
"operations","Noun","Plural","Lower","No","No","Yes","38"
"users","Noun","Plural","Lower","No","No","Yes","37"
"features","Noun","Plural","Lower","No","No","Yes","37"
"Microsoft.MobileEngagement","Noun","Singular","Camel","No","No","Yes","37"
"hostingEnvironments","Noun","Plural","Camel","No","No","Yes","36"
"authorizationRules","Noun","Plural","Camel","No","No","Yes","36"
"virtualMachineScaleSets","Noun","Plural","Camel","No","No","Yes","35"
"profiles","Noun","Plural","Lower","No","No","Yes","34"
"appcollections","Noun","Plural","Lower","No","No","Yes","34"
"Microsoft.Relay","Noun","Singular","Camel","No","No","Yes","34"
"Microsoft.Intune","Noun","Singular","Camel","No","No","Yes","33"
"Microsoft.Cdn","Noun","Singular","Camel","No","No","Yes","33"
"Microsoft.StreamAnalytics","Noun","Plural","Camel","No","No","Yes","32"
"integrationAccounts","Noun","Plural","Camel","No","No","Yes","31"
"databases","Noun","Plural","Lower","No","No","Yes","31"
"streamingjobs","Noun","Plural","Lower","No","No","Yes","30"
"schedules","Noun","Plural","Lower","No","No","Yes","30"
"clusters","Noun","Plural","Lower","No","No","Yes","29"
"Microsoft.EventHub","Noun","Singular","Camel","No","No","Yes","28"
"Microsoft.DataLakeAnalytics","Noun","Plural","Camel","No","No","Yes","28"
"workflows","Noun","Plural","Lower","No","No","Yes","27"
"virtualmachines","Noun","Plural","Lower","No","No","Yes","27"
"serverfarms","Noun","Plural","Lower","No","No","Yes","27"
"environments","Noun","Plural","Lower","No","No","Yes","27"
"default","Noun","Singular","Lower","No","No","Yes","27"
"Microsoft.NotificationHubs","Noun","Plural","Camel","No","No","Yes","27"
"Microsoft.Authorization","Noun","Singular","Camel","No","No","Yes","26"
"serviceMap","Noun","Singular","Camel","No","No","Yes","25"
"microsoft.insights","Noun","Plural","Lower","No","No","Yes","25"
"Microsoft.ServerManagement","Noun","Singular","Camel","No","No","Yes","25"
"Microsoft.HDInsight","Noun","Singular","Camel","No","No","Yes","25"
"virtualMachines","Noun","Plural","Camel","No","No","Yes","24"
